Referenca: 1 Мојс 1,1 | referenci: 
Referenca: 1 Мојс 1,2 | referenci: 
Referenca: 1 Мојс 1,3 | referenci: 
Referenca: 1 Мојс 1,7 | referenci: 
Referenca: 1 Мојс 1,9 | referenci: 
Referenca: 1 Мојс 1,11 | referenci: 
Referenca: 1 Мојс 1,14 | referenci: 
Referenca: 1 Мојс 1,16 | referenci: 
Referenca: 1 Мојс 1,21 | referenci: 
Referenca: 1 Мојс 1,22 | referenci: 
Referenca: 1 Мојс 1,25 | referenci: 
Referenca: 1 Мојс 1,26 | referenci: 
Referenca: 1 Мојс 1,27 | referenci: 
Referenca: 1 Мојс 1,28 | referenci: 
Referenca: 1 Мојс 1,29 | referenci: 
Referenca: 1 Мојс 1,31 | referenci: 
Referenca: 1 Мојс 2,2 | referenci: 
Referenca: 1 Мојс 2,7 | referenci: 
Referenca: 1 Мојс 2,9 | referenci: 
Referenca: 1 Мојс 2,10 | referenci: 
Referenca: 1 Мојс 2,17 | referenci: 
Referenca: 1 Мојс 2,18 | referenci: 
Referenca: 1 Мојс 2,21 | referenci: 
Referenca: 1 Мојс 2,22 | referenci: 
Referenca: 1 Мојс 2,23 | referenci: 
Referenca: 1 Мојс 2,24 | referenci: 
Referenca: 1 Мојс 3,1 | referenci: 
Referenca: 1 Мојс 3,5 | referenci: 
Referenca: 1 Мојс 3,6 | referenci: 
Referenca: 1 Мојс 3,8 | referenci: 
Referenca: 1 Мојс 3,10 | referenci: 
Referenca: 1 Мојс 3,13 | referenci: 
Referenca: 1 Мојс 3,14 | referenci: 
Referenca: 1 Мојс 3,15 | referenci: 
Referenca: 1 Мојс 3,16 | referenci: 
Referenca: 1 Мојс 3,17 | referenci: 
Referenca: 1 Мојс 3,19 | referenci: 
Referenca: 1 Мојс 3,20 | referenci: 
Referenca: 1 Мојс 3,22 | referenci: 
Referenca: 1 Мојс 3,24 | referenci: 
Referenca: 1 Мојс 4,4 | referenci: 
Referenca: 1 Мојс 4,6 | referenci: 
Referenca: 1 Мојс 4,8 | referenci: 
Referenca: 1 Мојс 4,10 | referenci: 
Referenca: 1 Мојс 4,14 | referenci: 
Referenca: 1 Мојс 4,15 | referenci: 
Referenca: 1 Мојс 4,16 | referenci: 
Referenca: 1 Мојс 4,23 | referenci: 
Referenca: 1 Мојс 4,24 | referenci: 
Referenca: 1 Мојс 4,26 | referenci: 
Referenca: 1 Мојс 5,1 | referenci: 
Referenca: 1 Мојс 5,22 | referenci: 
Referenca: 1 Мојс 5,24 | referenci: 
Referenca: 1 Мојс 5,29 | referenci: 
Referenca: 1 Мојс 5,32 | referenci: 
Referenca: 1 Мојс 6,1 | referenci: 
Referenca: 1 Мојс 6,3 | referenci: 
Referenca: 1 Мојс 6,4 | referenci: 
Referenca: 1 Мојс 6,5 | referenci: 
Referenca: 1 Мојс 6,6 | referenci: 
Referenca: 1 Мојс 6,8 | referenci: 
Referenca: 1 Мојс 6,9 | referenci: 
Referenca: 1 Мојс 6,13 | referenci: 
Referenca: 1 Мојс 6,14 | referenci: 
Referenca: 1 Мојс 6,17 | referenci: 
Referenca: 1 Мојс 6,18 | referenci: 
Referenca: 1 Мојс 7,1 | referenci: 
Referenca: 1 Мојс 7,2 | referenci: 
Referenca: 1 Мојс 7,11 | referenci: 
Referenca: 1 Мојс 7,23 | referenci: 
Referenca: 1 Мојс 8,17 | referenci: 
Referenca: 1 Мојс 8,22 | referenci: 
Referenca: 1 Мојс 9,1 | referenci: 
Referenca: 1 Мојс 9,3 | referenci: 
Referenca: 1 Мојс 9,4 | referenci: 
Referenca: 1 Мојс 9,5 | referenci: 
Referenca: 1 Мојс 9,6 | referenci: 
Referenca: 1 Мојс 9,9 | referenci: 
Referenca: 1 Мојс 9,11 | referenci: 
Referenca: 1 Мојс 9,13 | referenci: 
Referenca: 1 Мојс 9,15 | referenci: 
Referenca: 1 Мојс 9,18 | referenci: 
Referenca: 1 Мојс 9,21 | referenci: 
Referenca: 1 Мојс 9,25 | referenci: 
Referenca: 1 Мојс 9,26 | referenci: 
Referenca: 1 Мојс 10,2 | referenci: 
Referenca: 1 Мојс 10,6 | referenci: 
Referenca: 1 Мојс 10,7 | referenci: 
Referenca: 1 Мојс 10,8 | referenci: 
Referenca: 1 Мојс 10,11 | referenci: 
Referenca: 1 Мојс 10,32 | referenci: 
Referenca: 1 Мојс 11,1 | referenci: 
Referenca: 1 Мојс 11,4 | referenci: 
Referenca: 1 Мојс 11,9 | referenci: 
Referenca: 1 Мојс 11,10 | referenci: 
Referenca: 1 Мојс 11,29 | referenci: 
Referenca: 1 Мојс 11,30 | referenci: 
Referenca: 1 Мојс 11,31 | referenci: 
Referenca: 1 Мојс 12,1 | referenci: 
Referenca: 1 Мојс 12,2 | referenci: 
Referenca: 1 Мојс 12,3 | referenci: 
Referenca: 1 Мојс 12,5 | referenci: 
Referenca: 1 Мојс 12,6 | referenci: 
Referenca: 1 Мојс 12,7 | referenci: 
Referenca: 1 Мојс 12,8 | referenci: 
Referenca: 1 Мојс 12,10 | referenci: 
Referenca: 1 Мојс 13,2 | referenci: 
Referenca: 1 Мојс 13,3 | referenci: 
Referenca: 1 Мојс 13,6 | referenci: 
Referenca: 1 Мојс 13,7 | referenci: 
Referenca: 1 Мојс 13,10 | referenci: 
Referenca: 1 Мојс 13,12 | referenci: 
Referenca: 1 Мојс 13,15 | referenci: 
Referenca: 1 Мојс 13,18 | referenci: 
Referenca: 1 Мојс 14,5 | referenci: 
Referenca: 1 Мојс 14,18 | referenci: 
Referenca: 1 Мојс 14,20 | referenci: 
Referenca: 1 Мојс 15,1 | referenci: 
Referenca: 1 Мојс 15,2 | referenci: 
Referenca: 1 Мојс 15,5 | referenci: 
Referenca: 1 Мојс 15,6 | referenci: 
Referenca: 1 Мојс 15,7 | referenci: 
Referenca: 1 Мојс 15,10 | referenci: 
Referenca: 1 Мојс 15,12 | referenci: 
Referenca: 1 Мојс 15,13 | referenci: 
Referenca: 1 Мојс 15,14 | referenci: 
Referenca: 1 Мојс 15,18 | referenci: 
Referenca: 1 Мојс 15,20 | referenci: 
Referenca: 1 Мојс 16,1 | referenci: 
Referenca: 1 Мојс 16,7 | referenci: 
Referenca: 1 Мојс 16,9 | referenci: 
Referenca: 1 Мојс 16,12 | referenci: 
Referenca: 1 Мојс 17,1 | referenci: 
Referenca: 1 Мојс 17,2 | referenci: 
Referenca: 1 Мојс 17,5 | referenci: 
Referenca: 1 Мојс 17,8 | referenci: 
Referenca: 1 Мојс 17,10 | referenci: 
Referenca: 1 Мојс 17,12 | referenci: 
Referenca: 1 Мојс 17,13 | referenci: 
Referenca: 1 Мојс 17,15 | referenci: 
Referenca: 1 Мојс 17,17 | referenci: 
Referenca: 1 Мојс 17,20 | referenci: 
Referenca: 1 Мојс 17,21 | referenci: 
Referenca: 1 Мојс 18,2 | referenci: 
Referenca: 1 Мојс 18,9 | referenci: 
Referenca: 1 Мојс 18,10 | referenci: 
Referenca: 1 Мојс 18,14 | referenci: 
Referenca: 1 Мојс 18,16 | referenci: 
Referenca: 1 Мојс 18,17 | referenci: 
Referenca: 1 Мојс 18,18 | referenci: 
Referenca: 1 Мојс 18,19 | referenci: 
Referenca: 1 Мојс 18,21 | referenci: 
Referenca: 1 Мојс 18,22 | referenci: 
Referenca: 1 Мојс 18,24 | referenci: 
Referenca: 1 Мојс 18,27 | referenci: 
Referenca: 1 Мојс 18,32 | referenci: 
